Key,Id,English(en),Icelandic(is)
"Menu_play",106927747072,"Menu","Menu"
"Menu_settings",436510862340096,"Settings","Stillingar"
"Menu_rulebook",436594098302976,"Rulebook","Leiðbeiningar"
"Menu_feedback",2567153339592704,"Give us Feedback","Senda Athugasemd"
"Menu_data_privacy_page",2567673110327296,"Open Data Privacy Page","Öryggi og Persónuvernd"
"New_game",2567980913520640,"New Game","Nýr Leikur"
"Pack_Basic",2577921242034176,"General Topics","Almennt efni"
"Pack_Icelandic",2577958852358144,"Icelandic","Ísland"
"Pack_PopCulture",2578011557982208,"Pop Culture","Popp Menning"
"Pack_Political",2578079061110784,"Political","Pólítískt"
"Pack_18",2578120618274816,"18+","18+"
"Local_text",2920950347853824,"1 Phone","1 Sími"
"Local_info",2920951136382976,"Only 1 phone","Aðeins 1 sími"
"Online_text",2921026268950528,"3+ Phone","3+ Sími"
"Online_info",2921050226814976,"Everyone has their own phone","Allir hafa sinn síma"
"Name_of_players",2925169553436672,"Enter the names of the players","Nafn á spilurunum"
"Enter_Name...",2925689563246592,"Enter Name...","Nafn..."
"Next",2926184658890752,"Next","Næst"
"Discussion_moderator",2927303892135936,"Discussion Moderator","Þing Stjóri"
"Genric_name",2928417928638464,"Generic Name","Alment Nafn"
"Choose_a_bill",2929375169474560,"Choose a Bill that your players will debate","Veldu frumvarp sem leikmenn munu ræða um"
"Short_bill",2929931501957120,"Short Bill","Stutt Frumvarp"
"Short_description_of_the_bill",2930197299195904,"This is a short discription of the bill","Þetta er stutt lýsing á frumvarpinu"
"Medium_bill",2930716407230464,"Medium Bill","Miðlungs Frumvarp"
"Medium_discription_of_the_bill",2931270000832512,"This is a medium discription of the bill","Þetta er miðlungs lýsing á frumvarpinu"
"Long_bill",2932441201504256,"Long Bill","Langt Frumvarp"
"Long_discription_of_the_bill",2932930764861440,"This is a long discription of the bill","Þetta er löng lýsing á frumvarpinu"
"Select",2933479123972096,"Select","Velja"
"Comedy",2943256990314496,"Comedy","Gamanleikur"
"Creativity",2943549043896320,"Creativity","Sköpunargáfu"
"On_topic",2944256077721600,"On Topic","EfnisViðeigandi"
"Factual",2946331998154752,"Factual","Staðreyndir"
"Enthusiasm",2946846815416320,"Enthusiasm","Áhugasemi"
"Metrics_instructions",2947211875053568,"You can choose whether or not you share this with the players","Þú getur valið hvort þú deilir þessu með spilurunum eða ekki"
"Speech",10516672329019392,"Speech","Ræða"
"Betryal",10516737768550400,"Betryal","Svik"
"Interuption",10516739890868224,"Interuption","Trufflun"
"10 Points",10517073245761536,"10 Points","10 Stig"
"20 Points",10517087133102080,"20 Points","20 Stig"
"30 Points",10517088492056576,"30 Points","30 Stig"
"40 Points",10517090299801600,"40 Points","40 Stig"
"50 points",10517521574916096,"50 Points","50 Stig"
"60 points",10517542819065856,"60 Points","60 Stig"
"70 Points",10517565237620736,"70 Points","70 Stig"
"80 Points",10517597923831808,"80 Points","80 Stig"
"90 Points",10517629674713088,"90 Points","90 Stig"
"100 Points",10517651531231232,"100 Points","100 Stig"
"110 Points",10517683223392256,"110 Points","110 Stig"
"120 Points",10517722570158080,"120 Points","120 Stig"
"130 Points",10517743109664768,"130 Points","130 Stig"
"140 Points",10518334737215488,"140 Points","140 Stig"
"150 Points",10518427209035776,"150 Points","150 Stig"
"160 Points",10518530732847104,"160 Points","160 Stig"
"170 Points",10518594729537536,"170 Points","170 Stig"
"180 Points",10518688124104704,"180 Points","180 Stig"
"190 Points",10518812900454400,"190 Points","190 Stig"
"200 Points",10518864326815744,"200 Points","200 Stig"
"Im_Done",10519024050106368,"Im Done!","Búin!"
"I_am_name",10519730853244928,"I_am [name]","Ég er [nafn]"
"Host",10520027818356736,"Host","Hýsa"
"Join",10520057857961984,"Join","Tengjast"
"Room Number",10520576273936384,"Room Number","Lotukóði"
"Waiting for players",10520889928183808,"Waiting for players","Bíða eftir leikmönnum"
"Enter your Room Key",10525874187399168,"Enter Your Room Key","Sláðu inn Lotukóða"
