Key,Id,English(en),Icelandic(is)
"Menu_play",106927747072,"Menu","Menu"
"Menu_settings",436510862340096,"Settings","Stillingar"
"Menu_rulebook",436594098302976,"Rulebook","Leiðbeiningar"
"Menu_feedback",2567153339592704,"Give us Feedback","Senda Athugasemd"
"Menu_data_privacy_page",2567673110327296,"Open Data Privacy Page","Öryggi og Persónuvernd"
"New_game",2567980913520640,"New Game","Nýr Leikur"
"Pack_Basic",2577921242034176,"General Topics","Almennt efni"
"Pack_Icelandic",2577958852358144,"Icelandic","Ísland"
"Pack_PopCulture",2578011557982208,"Pop Culture","Popp Menning"
"Pack_Political",2578079061110784,"Political","Pólítískt"
"Pack_18",2578120618274816,"18+","18+"
"Local_text",2920950347853824,"1 Phone","1 Sími"
"Local_info",2920951136382976,"Only 1 phone","Aðeins 1 sími"
"Online_text",2921026268950528,"3+ Phone","3+ Sími"
"Online_info",2921050226814976,"Everyone has their own phone","Allir hafa sinn síma"
"Name_of_players",2925169553436672,"Enter the names of the players","Nafn á spilurunum"
"Enter_Name...",2925689563246592,"Enter Name...","Nafn..."
"Next",2926184658890752,"Next","Næst"
"Discussion_moderator",2927303892135936,"Discussion Moderator","Þing Stjóri"
"Genric_name",2928417928638464,"Generic Name","Alment Nafn"
"Choose_a_bill",2929375169474560,"Choose a Bill that your players will debate","Veldu frumvarp sem leikmenn munu ræða um"
"Short_bill",2929931501957120,"Short Bill","Stutt Frumvarp"
"Short_description_of_the_bill",2930197299195904,"This is a short discription of the bill","Þetta er stutt lýsing á frumvarpinu"
"Medium_bill",2930716407230464,"Medium Bill","Miðlungs Frumvarp"
"Medium_discription_of_the_bill",2931270000832512,"This is a medium discription of the bill","Þetta er miðlungs lýsing á frumvarpinu"
"Long_bill",2932441201504256,"Long Bill","Langt Frumvarp"
"Long_discription_of_the_bill",2932930764861440,"This is a long discription of the bill","Þetta er löng lýsing á frumvarpinu"
"Select",2933479123972096,"Select","Velja"
"Comedy",2943256990314496,"Comedy","Gamanleikur"
"Creativity",2943549043896320,"Creativity","Sköpunargáfu"
"On_topic",2944256077721600,"On Topic","EfnisViðeigandi"
"Factual",2946331998154752,"Factual","Staðreyndir"
"Enthusiasm",2946846815416320,"Enthusiasm","Áhugasemi"
"Metrics_instructions",2947211875053568,"You can choose whether or not you share this with the players","Þú getur valið hvort þú deilir þessu með spilurunum eða ekki"
